subject1,subject2
4.7976,1.3451
3.6058,2.0054
2.3845,4.2971
3.1083,-0.27711
3.2183,3.4649
4.4757,4.2352
1.3606,1.5806
5.1079,4.0995
4.0175,3.8899
3.6468,6.0464
3.777,4.0878
4.9333,4.0375
3.416,2.5976
4.1563,2.058
3.1726,3.2775
4.7624,0.53387
3.9611,3.5096
3.666,2.1145
4.3045,5.7024
6.0733,2.3132
4.8683,2.059
3.4284,2.785
3.7531,1.5615
3.063,3.0379
4.4656,4.8498
2.9549,1.2689
2.6214,1.0349
3.3758,3.5165
5.1407,1.8223
2.4418,2.6538
4.073,1.1539
3.7772,3.466
4.0643,7.0622
3.3378,4.6733
3.9789,2.8701
2.9643,3.2993
2.6344,2.1497
3.777,1.592
3.3035,1.8725
3.333,4.636
3.6992,3.9354
4.0996,1.8065
4.4378,3.5639
3.2562,3.931
3.2827,3.2461
1.9231,3.2666
2.7342,6.9355
3.5484,3.4693
4.2892,-0.78164
2.7271,2.4467
2.9778,3.5483
3.205,5.091
2.0518,1.9381
3.8383,1.2928
3.6581,4.6045
3.8892,3.0512
3.044,2.9588
4.4408,3.92
4.2032,3.569
3.0678,3.9726
4.1023,3.5175
3.4897,3.4215
3.1018,4.8085
1.8608,2.4109
2.9519,3.16
3.0268,5.3604
2.0089,3.1993
6.0837,3.5123
3.8325,3.4881
4.6741,5.9208
4.0355,4.0471
1.9569,2.6215
5.0483,2.1199
3.0791,0.99064
3.7779,6.0225
5.108,0.7241
1.6719,0.9827
3.1847,3.5028
4.2627,2.1508
2.8456,3.8951
6.5211,4.9975
2.6648,4.3535
2.8682,2.4277
4.5332,3.2349
4.5459,2.2884
2.8436,2.8568
3.575,4.391
2.8969,3.3863
4.048,2.5764
3.8234,2.9002
4.3429,3.2623
3.2592,4.2382
3.3855,2.7431
4.086,6.9648
2.0685,4.3269
3.3812,2.5768
4.2514,1.1716
2.7521,-0.89697
3.032,3.1808
4.9709,-0.63508
4.475,2.7978
3.7348,2.3565
3.9521,3.9193
5.0528,2.8213
3.1739,1.5403
3.2888,1.477
3.1235,2.6364
3.5903,4.4389
4.374,1.7425
1.2204,4.0181
5.6703,3.6419
3.1723,2.7208
5.0606,1.7188
2.4438,5.1994
3.5075,3.1075
4.1016,2.2863
3.8424,5.0956
3.4796,3.6836
4.0463,1.3789
3.3321,3.5033
2.3913,1.9972
2.9279,3.4412
2.9166,1.5659
2.3948,2.5832
2.5953,2.2223
4.6789,5.8708
3.1785,2.1601
2.2991,2.4668
4.4602,2.2649
3.8136,3.3173
3.2757,3.1967
1.6412,6.213
3.4567,5.2187
3.5149,3.2946
3.2134,3.7684
5.2334,5.3186
5.0597,1.5105
3.0935,2.9467
3.1814,5.6155
3.3096,3.0339
4.3262,2.4579
2.5597,3.7937
2.8665,2.0733
2.2959,4.3192
3.3756,4.3571
4.2014,3.0665
3.4336,3.0001
3.6119,2.97
5.2207,2.2387
2.6764,5.1588
2.8743,3.2181
4.3075,3.4036
3.3783,3.031
4.0375,2.4378
3.4001,2.7351
3.6225,4.4021
2.6324,6.0932
4.2977,1.9949
2.7412,2.9007
4.5527,2.6076
4.7977,1.7233
3.5508,4.261
5.4582,1.3703
1.1196,3.0446
3.7596,-0.26545
3.3257,2.5951
3.2856,4.6405
3.5746,3.4211
2.8026,3.0578
3.9933,4.2173
1.5323,2.8647
3.1922,3.1507
3.7387,1.3832
3.3465,2.1498
1.7403,5.1529
3.6275,1.0353
4.6963,2.311
3.6671,3.6889
3.7952,3.5793
2.1124,1.0588
4.3683,4.7012
1.8533,3.3622
2.7158,2.0887
2.6642,2.8987
3.5954,2.6877
4.0399,3.8848
4.1442,4.0483
4.9153,3.3404
4.1975,5.7663
2.0526,2.6959
3.0222,3.7577
5.5508,0.80954
3.207,3.8153
3.74,4.6703
5.3609,3.7844
2.9918,2.8873
2.1912,3.2874
3.0604,3.4519
2.1237,1.8922
4.8948,3.0293
3.8965,5.5795
3.9806,2.7375
7.0118,3.2833
3.8712,4.2336
2.4913,2.8128
5.0987,4.6937
3.8768,1.5951
3.0655,2.0225
3.5361,2.6026
3.6443,3.4093
4.1114,4.691
1.8856,4.3205
3.6743,4.5778
1.8686,3.9254
3.6968,1.8356
5.2489,1.4477
3.332,4.1779
4.6677,3.8751
4.1584,2.6168
4.3637,0.78838
3.7869,6.5813
3.874,4.0538
1.8246,2.7583
2.67,3.1464
3.6206,0.74493
1.5982,-0.39215
4.6716,4.2129
2.8449,1.473
0.98097,4.1236
3.3076,3.1377
2.1781,1.2763
3.2275,3.4409
2.3964,2.236
3.1946,4.2133
4.2765,3.9869
2.5936,2.0208
2.5592,2.6399
4.0652,2.6077
3.921,3.5607
3.7724,3.054
2.4706,2.0611
3.7877,3.2157
2.6813,1.9705
2.794,5.3665
4.2097,1.7328
2.1494,2.2072
3.9045,3.689
3.2797,2.7039
4.1351,1.2011
1.9984,1.5587
3.0356,2.0108
3.1312,4.6287
3.8581,3.0616
5.8767,1.5375
3.1629,2.8294
3.97,3.0573
3.4072,2.841
4.1315,4.3326
4.0829,2.9533
2.2042,1.5513
4.2921,1.4145
3.2758,1.8622
2.8595,0.93246
6.881,1.9173
4.0596,2.6125
2.2846,3.8036
2.4734,1.8531
2.8917,0.86796
2.1171,1.3361
4.6817,4.4909
3.0803,3.0003
1.8228,0.8728
3.7956,4.3054
2.6639,1.4663
3.7278,4.3236
3.1148,3.8665
4.0465,4.2777
3.4163,1.8364
4.1118,2.7799
5.2393,-0.64311
2.3131,3.034
3.5059,2.9136
3.5033,3.3533
3.7158,2.6128
3.7245,3.6783
2.6161,2.1233
1.3097,2.5873
2.078,2.7421
3.9408,3.8551
2.488,4.9156
1.8414,5.6459
4.5228,1.6368
3.6237,5.3546
3.2824,3.0823
3.1111,1.5293
4.7,4.0502
4.114,3.9762
5.5618,0.21975
4.4125,3.7044
4.6598,4.105
1.6048,1.9636
3.7988,1.8134
3.801,5.3135
3.1333,3.7163
4.9472,5.0605
3.0565,3.9255
4.3926,1.8362
2.6671,3.0749
3.7961,4.1993
3.1086,4.1857
3.9632,2.1964
3.3454,3.749
2.4217,4.7427
5.3238,3.072
3.4466,2.1706
5.0773,-1.3383
3.0927,2.7858
3.4625,3.1957
3.8148,2.6097
2.2299,5.0266
4.7767,1.0148
3.1218,3.694
4.4794,3.2479
4.4282,2.8212
3.8279,3.106
5.1665,1.7268
3.2291,1.283
3.6177,2.7508
3.9898,0.68331
2.03,3.4404
4.0635,4.3028
4.8341,1.9665
3.1174,5.0815
3.5625,3.8197
5.5799,2.2579
4.3359,3.3925
4.316,3.3426
3.9857,1.1541
3.6137,2.9685
5.8092,2.642
3.8222,4.3532
4.3702,5.5001
3.5466,1.3557
5.6478,2.8199
2.5986,3.0679
3.1042,3.2434
1.5753,3.0863
3.7393,2.1111
4.3133,2.6964
5.3412,4.3465
3.3269,3.128
3.9136,4.7543
3.6787,3.8519
2.0605,2.4145
5.4629,1.8119
3.6911,2.3497
3.3195,3.9147
4.6837,1.8654
3.8665,2.2211
3.6388,2.0576
4.5177,2.2888
6.3179,3.6473
3.4335,3.1865
2.7806,2.0798
3.0207,2.5097
3.5896,2.6199
3.6756,0.79938
3.3772,0.70626
3.9522,3.0935
3.7933,2.7065
4.8514,2.2148
3.1367,2.2346
3.6166,4.1942
2.4482,2.9211
2.7532,1.7575
3.8194,3.9368
2.5374,0.70109
2.9754,-0.51437
3.0009,4.4377
2.0773,1.9898
3.7556,1.4462
4.364,1.2609
2.3389,4.4956
3.7385,6.3844
3.7651,2.1228
1.6527,5.5916
3.7231,0.81471
2.818,4.7614
4.4901,1.9276
4.4056,3.3379
3.1569,1.5804
4.2338,2.6912
2.9597,3.1292
4.8783,2.6229
-0.062555,2.079
3.4682,3.0548
3.0749,3.0655
4.5259,3.8752
2.0549,4.0881
2.3616,2.0159
2.4461,3.0103
2.854,5.6342
4.0199,1.9398
4.1847,4.9533
4.6135,4.3008
4.3877,0.30185
2.8523,1.672
1.0724,3.2886
2.9279,0.1595
3.6286,1.6844
5.2788,3.3201
3.9076,1.8606
3.3938,0.69769
4.3979,3.5269
3.2666,4.7018
2.8464,3.1054
4.8004,4.3022
4.2968,3.3856
2.9843,2.8841
0.37483,3.5415
4.1823,2.3573
3.1115,1.4989
3.3646,2.4185
3.3899,3.5129
3.3342,2.6272
3.9238,1.7264
3.1786,0.54122
3.2798,1.723
3.8717,4.2795
4.0272,4.2193
1.5041,2.4815
3.6561,2.7152
3.8867,3.3713
3.5028,5.1368
2.0954,3.7155
2.5925,1.8596
3.1652,3.6829
1.5788,3.8336
2.9803,2.726
2.3196,2.6879
3.4062,3.1222
3.2538,4.6472
2.9891,3.8208
4.3198,4.7241
3.2483,3.6954
3.1813,3.5442
0.37007,0.90271
4.3463,2.9804
3.0958,3.3804
2.9495,4.9947
2.5289,1.6872
3.0826,1.771
1.6517,3.3766
5.0913,0.92585
5.4814,2.7018
4.797,2.2967
3.5433,0.76435
3.2943,3.0222
3.3257,4.2082
3.0044,3.3235
3.1953,2.0704
3.8798,3.5184
3.5627,1.0891
1.3363,2.7868
4.763,3.6669
3.6197,0.48259
5.7743,3.0697
2.3772,2.9209
2.9948,3.8046
2.5037,3.1848
3.5795,1.576
5.2552,4.6509
3.9527,3.0307
2.6945,3.4194
2.4969,4.1249
3.7968,3.1044
3.3765,4.9053
1.8853,1.716
3.0395,4.1134
3.6302,4.7662
4.1844,4.9654
3.7802,5.124
2.423,0.84538
2.9272,2.0128
2.7189,4.2244
3.5438,1.995
3.0206,4.9402
2.2027,0.72282
4.0186,2.2199
4.6582,1.3248
4.1163,3.2231
4.1179,1.0319
3.0743,2.7038
3.8821,4.9122
2.6558,4.616
4.9876,4.0947
4.261,4.5714
2.6765,3.1097
2.3113,0.8631
2.503,1.3577
2.8064,3.0991
3.5381,4.219
3.2328,2.6287
2.4859,1.4938
3.7732,4.5622
5.2086,3.5428
3.5263,3.2222
3.761,2.7821
3.5497,2.2463
4.0896,4.1117
2.9629,4.729
3.0383,2.5642
3.6965,4.3364
3.7046,3.0014
2.0647,3.1703
3.733,3.0384
5.3332,4.1854
4.2577,5.4594
3.6332,3.6557
4.3985,2.3439
4.8932,3.8656
2.3997,3.3157
1.7693,2.9304
4.3817,2.5315
3.1091,4.0975
2.6353,1.6205
4.0968,3.3467
3.7276,3.2144
1.9621,5.1125
3.1027,5.7857
3.6167,0.50317
3.462,4.308
3.4526,5.4416
3.7044,2.2194
3.0141,3.6211
4.0433,2.5086
2.8422,2.2627
3.0721,4.98
3.7673,2.1751
3.448,4.2475
2.925,3.0483
3.877,5.1647
2.2308,3.8334
4.173,3.8523
3.4083,3.3795
2.4114,-0.62131
3.729,4.2
4.0437,4.6927
3.739,2.0976
3.382,1.2193
3.3774,-0.17688
2.9381,6.8802
3.9647,5.1533
4.8296,1.8879
3.43,4.6317
5.2275,2.1379
2.9041,1.9727
3.4998,-0.36747
2.7024,3.143
1.9392,3.0918
2.3491,5.2275
4.533,1.3445
2.9596,4.4431
3.5745,1.4126
1.9818,3.0502
3.5642,3.6113
5.1355,3.9445
4.719,2.3864
3.1011,4.2636
4.3781,2.2679
3.5866,3.1976
4.672,4.2837
3.6651,4.1092
3.9759,3.6433
2.8947,3.81
2.9779,4.372
3.4924,2.4373
2.9162,2.4851
4.3235,5.2278
3.5777,5.276
4.7414,2.9267
5.3384,1.7347
2.4593,2.5899
4.917,2.5759
3.9958,2.0599
2.1781,3.9207
3.4012,1.3808
4.5785,2.192
3.9633,5.8088
4.853,1.6315
3.3626,4.0562
3.5639,3.768
5.2476,3.0769
3.2229,3.1077
2.857,2.2331
4.6946,1.7825
4.3227,4.2828
5.1638,4.4052
1.7997,2.7218
4.036,3.5409
3.7814,5.2864
4.3392,4.2649
3.1312,6.1902
3.1251,2.2572
3.2632,2.6168
2.5557,1.9497
3.1328,0.48047
3.9482,1.8713
4.0104,2.426
4.4446,4.5522
2.4293,3.5885
5.5714,4.4522
2.45,0.47101
3.3719,3.9126
3.2512,5.5816
3.3163,2.9035
3.6719,0.27852
4.0434,1.6827
4.8501,2.4074
2.8893,1.5529
1.662,3.4439
4.3345,6.002
3.6665,5.0819
3.987,1.2917
2.6877,0.36528
4.7778,2.8296
3.9788,0.4111
4.3373,1.6489
5.2099,4.0181
3.2903,4.2544
2.3507,2.3048
3.8562,7.237
2.5107,3.4315
2.5341,3.4384
2.1647,0.95026
2.8779,5.4113
2.2813,3.3402
5.7718,1.7311
2.6726,3.1693
3.8918,3.1451
2.331,5.1716
2.732,3.5957
1.605,3.5885
3.6223,3.6001
3.5351,3.9139
3.6936,3.5741
2.4034,3.1933
2.9559,2.5785
3.5777,1.1721
4.7971,2.2492
3.0347,1.5133
2.5956,3.9004
3.6269,3.2127
2.6433,1.4334
4.0964,1.2923
3.6183,2.803
3.8721,4.5585
1.9961,2.717
3.6451,4.2835
3.1466,2.3536
3.7478,2.5076
4.6693,4.3503
1.9085,5.9147
1.6699,2.468
4.2468,5.3924
4.0076,3.1115
3.7725,2.9694
2.8062,2.9932
1.6482,3.227
3.7579,3.6031
1.2672,4.0209
3.3083,2.5005
4.2737,1.8226
4.8414,3.2003
3.5627,3.4832
4.1199,2.7763
2.8261,2.3459
5.3022,1.7909
4.67,3.7128
2.2625,0.41111
3.2831,3.6358
3.9074,2.8482
2.5136,4.4014
3.2199,3.114
3.9896,0.16868
2.9358,2.2873
5.1414,2.3725
2.4826,3.6796
5.7483,2.4082
4.5289,3.2295
3.8273,2.5051
4.7725,3.3687
5.4061,3.5174
4.3387,2.0933
5.2351,1.1236
1.7435,-0.30005
3.9932,4.4219
3.067,2.9453
3.5977,5.4452
2.4686,0.66218
3.6308,2.978
5.2964,3.1867
3.7097,1.2689
5.0497,4.2187
3.667,3.9944
4.0184,1.9703
4.9513,0.99487
2.3341,2.9214
2.5456,3.8157
4.2751,4.4155
2.6014,3.472
3.639,1.104
2.2994,4.4059
2.5317,0.64284
5.0646,3.9475
3.8157,2.2354
2.401,2.9365
3.7957,4.7675
3.5181,6.7897
3.8425,4.2864
4.2939,5.3702
4.074,3.893
2.6767,1.6787
2.629,2.8529
2.1229,3.0558
4.1818,5.2298
3.1776,1.8826
5.1977,3.1138
2.0361,3.1037
4.5333,2.423
4.4761,1.5102
2.8652,1.6385
2.3544,4.9447
2.3198,3.1211
4.1698,3.1598
4.4323,5.3272
1.9177,3.2
3.6854,2.2947
3.8195,3.4859
2.4967,2.6926
3.6361,1.2496
2.134,3.1556
4.511,3.9232
3.5427,4.4637
2.6584,3.7952
2.7269,2.8841
2.8728,2.7328
4.1649,1.4394
3.0069,1.41
3.4094,3.4964
2.2315,5.2288
2.1427,3.4356
2.0436,2.5454
2.9805,2.8053
2.1594,4.0202
5.2283,3.474
2.7573,3.1107
2.1455,5.8216
3.3986,-0.58937
3.6756,3.7065
3.2949,-0.11024
3.8189,0.048728
3.0292,2.7061
2.9771,3.313
3.3317,2.4285
2.3819,3.5404
4.6393,4.4043
3.5451,3.6201
1.1175,3.5074
2.4265,1.6099
4.7074,4.9292
4.0479,2.6436
3.5217,1.496
4.6858,3.2419
4.5362,2.3233
3.6511,2.9697
3.0026,3.5034
3.8454,2.1197
3.4921,4.4033
1.855,2.5987
3.9606,5.2147
4.6622,4.9245
3.5827,2.2617
2.9794,2.4255
3.4595,0.14898
2.5966,1.9675
3.5803,3.1768
4.2534,1.0419
3.1637,2.1262
4.7507,2.9758
5.1828,5.4528
5.1218,3.4626
4.5815,2.0935
2.1138,4.9802
2.6913,3.4026
3.3097,4.2421
4.5536,3.1946
4.0732,3.3959
2.413,1.1776
2.6989,2.1713
4.9871,2.7169
3.6045,3.8265
3.3996,2.0894
5.6854,3.5578
3.1434,3.6749
4.6972,1.9754
3.3736,0.96336
3.7294,5.3099
3.2882,5.0579
2.1747,2.5242
4.5711,4.3236
1.1187,3.3097
2.6096,4.1769
2.9625,1.3649
3.4699,2.9502
3.9476,5.5675
2.4592,4.9877
4.4297,5.1662
3.1227,3.5708
1.7982,4.9519
3.98,3.9017
3.2814,2.3066
2.5355,6.3403
3.7892,2.339
2.0145,1.2207
4.4007,3.194
3.6558,0.95762
3.5883,4.1028
4.1675,2.5383
2.3018,1.6619
3.6713,3.7202
3.3862,2.8441
4.9097,5.0224
2.7506,5.3412
5.6752,2.3665
4.97,1.3936
3.6226,3.9546
4.2529,3.183
1.7185,4.9023
4.8221,4.7603
4.701,2.8436
3.9263,3.5194
5.1652,-0.55644
2.3608,2.4447
3.2942,2.4907
2.9843,1.9034
2.7005,1.0293
2.2245,4.8823
4.3659,5.7275
1.2749,5.1098
1.8868,3.8642
3.9024,1.9827
3.9296,5.3889
3.4997,4.2997
3.5742,3.967
2.3973,1.9312
3.3951,3.6054
3.6787,1.919
4.2026,2.8874
3.8663,3.7384
4.9462,2.11
4.2563,1.8088
3.4415,3.8333
4.471,2.4467
4.6989,4.4263
3.8056,2.239
3.244,2.8342
2.1669,1.3982
6.1592,4.6458
4.7489,2.8629
4.5439,2.7543
3.586,1.9661
5.8566,2.545
4.6926,1.8152
3.0639,2.6377
5.0635,2.4351
2.7128,4.525
5.3373,4.635
2.8142,4.2703
3.3433,4.4775
3.8192,2.487
4.2648,3.3091
3.768,3.4527
3.0008,1.4809
3.7711,2.6374
3.9526,2.4232
2.5922,2.2845
3.3493,0.23252
2.8594,5.5282
3.5947,3.2581
2.4303,3.0849
3.9678,2.5692
2.7834,4.1804
3.8837,2.9957
2.8133,2.9814
3.7269,4.182
2.5411,2.985
2.8959,3.2641
2.5699,3.6723
5.3631,2.2799
3.1629,4.7588
3.8192,2.7688
4.5982,3.3305
2.2154,3.7852
3.639,3.4588
4.3122,3.0738
3.7683,2.6836
3.7299,5.5995
5.1459,1.7326
3.6043,2.9307
4.0498,4.6785
2.6326,0.21394
3.7505,1.8591
1.7161,5.2103
2.181,4.1827
3.1851,4.632
3.0613,3.8012
2.5537,0.028413
3.5608,2.206
3.968,1.2088
3.4629,2.1738
2.2675,5.4162
3.8544,2.4726
4.8052,7.0673
2.5562,2.614
3.7628,1.9722
4.4985,4.4848
3.3197,4.9448
2.6475,2.2199
4.2549,2.8319
3.8944,3.0352
3.059,4.6267
3.4277,3.4177
3.4039,0.70418
4.2908,1.2158
3.7681,5.2662
2.7787,3.0174
4.0389,2.7251
3.559,5.3865
4.2287,2.3346
3.3582,-1.1447
5.2134,4.0919
3.8752,4.7508
4.8801,4.8244
3.1643,2.6683
3.9647,3.0744
3.8495,3.1396
2.836,2.3822
3.2858,3.5863
2.5951,6.6879
4.2992,4.1916
3.1342,4.5349
3.6867,4.679
4.2949,3.0801
4.0339,1.4718
4.4081,2.9083
4.7371,3.1727
2.065,2.8633
1.9057,1.6987
3.6778,3.4139
4.3715,3.1295
2.0893,4.4455
2.0015,2.8641
4.3733,1.778
4.0284,2.0403
5.1607,3.1731
3.8104,4.3719
2.569,2.486
4.3342,3.7866
2.3056,3.2047
1.9162,3.8812
2.2933,3.4005
3.1665,1.1718
4.3464,4.0164
3.9036,3.6334
2.605,6.2169
2.5733,4.1761
4.4568,1.8112
2.2338,2.9818
3.2951,2.7456
3.6545,3.6443
4.1412,3.9806
3.6897,-0.78529
4.9006,3.782
4.2786,3.3019
2.1836,1.6495
3.3223,2.8318
2.0416,1.0735
5.3948,3.5866
3.2029,1.6568
3.5201,3.6349
4.096,0.4905
3.1334,1.3331
3.8653,2.1011
3.5507,1.9143
4.2595,3.3213
2.5403,-0.63913
3.7309,2.4419
4.3839,0.06696
3.6354,4.2019
3.6568,3.7859
2.6856,5.9732
3.54,1.443
4.9607,2.454
2.879,2.5073
3.9172,5.8932
3.281,4.8086
3.3246,4.2068
3.9561,4.0714
2.9263,3.8741
3.8509,4.4902
3.0491,4.4425
2.79,4.625
2.3241,6.2558
1.575,4.0522
3.5913,5.3964
4.8975,3.9937
4.8425,2.0966
5.8507,1.4271
3.9131,7.1844
3.4941,2.1955
1.9745,4.8218
3.0104,3.9436
4.3937,1.0848
3.0402,3.6568
1.9396,1.1628
5.1885,4.7093
4.0883,2.6995
3.1761,3.028
2.7315,5.7726
2.042,3.3695
4.7807,2.8101
3.8789,1.0777
3.7489,1.6479
3.9274,0.63414
2.1751,2.4473
3.8529,2.1347
1.3233,1.451
2.5758,4.1228
1.3689,1.155
4.4182,4.2883
2.3333,3.9157
4.2101,3.0478
3.0728,0.34844
3.2076,5.2866
3.7544,2.2964
2.5486,3.122
4.3809,2.5813
4.3532,2.9076
3.7589,2.4306
4.7273,3.541
5.5002,3.8423
3.5964,3.7761
3.3312,2.0793
4.6177,5.4835
2.8334,2.9876
4.3027,3.1416
3.5358,2.4074
2.9581,4.321
3.2823,4.6347
2.5392,4.9251
3.3253,3.774
2.7021,1.7135
4.3357,3.9983
3.2745,5.605
4.0575,3.2994
3.5348,5.551
4.4308,1.1754
3.3845,4.2024
4.4794,3.7691
3.5814,2.7151
5.4199,2.1252
3.6954,3.6289
2.0852,1.0427
4.6108,6.1971
1.8194,2.6732
3.1612,3.0579
4.7617,3.9079
2.8687,4.5185
3.9437,5.1056
3.6455,3.2719
2.6977,4.5918
1.718,4.7242
2.9419,3.6005
3.0157,4.6855
3.8498,2.2031
2.3825,3.6619
3.4725,4.3852
4.7615,2.8776
4.1422,4.8008
2.4287,3.5049
4.1536,0.76054
3.1748,2.5949
2.8642,4.2126
3.0188,5.1502
5.0588,3.3116
6.4386,3.8853
3.4631,1.9772
3.122,3.3791
3.3347,2.3193
2.0279,3.0664
2.9926,3.8491
4.6604,2.6015
3.8825,6.4707
5.2047,2.5899
5.3885,3.2632
4.6925,2.0172
3.1238,1.6812
2.7667,3.5226
4.0512,2.4288
3.5572,1.2475
3.5109,1.6335
4.2533,1.803
3.7459,1.9345
2.5249,2.4077
2.4056,5.648
3.3763,2.8588
4.5121,1.0611
2.0116,2.9117
2.5633,3.8852
3.3582,2.2803
3.8241,4.0461
3.6816,3.4832
3.7971,3.2231
3.0226,2.9207
2.5016,0.39139
3.7705,2.3139
2.5322,-0.46767
4.5964,2.9219
3.5214,2.8007
2.8552,4.6282
4.0896,2.8045
3.4444,0.20797
3.2883,4.8449
3.6109,5.0061
5.5106,4.8524
4.0376,3.7716
4.0101,3.7154
2.0963,2.1024
2.068,5.6512
2.4341,4.8714
1.9596,3.812
3.0145,2.5674
2.1738,3.0028
4.2279,4.0443
5.6741,4.1587
2.7101,3.2263
3.6041,4.3502
2.3809,2.1283
3.808,4.395
5.007,4.7349
3.6355,1.9777
4.3827,4.0816
4.2737,2.7006
5.1652,4.1455
3.0012,1.4077
3.8329,-0.83214
4.8054,3.1914
2.9957,2.1073
3.3592,1.7456
2.0332,2.8277
3.5847,2.9092
4.1653,2.0383
4.5774,3.3742
1.8264,2.6617
3.9912,0.4095
3.2754,3.2087
4.8414,2.2304
4.6783,0.66247
1.5825,3.0066
4.301,0.672
4.896,0.77598
2.447,0.27911
4.0027,5.4811
4.028,1.1478
4.5145,-0.70095
2.2901,4.181
2.2782,2.1494
5.2209,1.383
4.5815,3.4554
2.0652,1.7202
3.5764,5.5526
4.3618,1.7363
3.6328,0.96712
3.2181,3.9851
4.5208,1.134
2.1955,4.9245
2.9763,5.9116
4.1921,3.4585
3.6448,5.5594
2.7415,3.7874
2.6105,2.2315
4.2304,2.3724
3.2873,4.3214
2.4075,2.0527
4.4351,3.636
2.7226,4.6255
3.2198,3.006
2.3325,2.7234
2.9429,2.5964
4.441,3.3465
3.7408,3.3978
3.7317,1.3926
2.7546,2.2894
2.612,4.1407
4.3969,5.6065
1.5743,2.5977
4.1704,4.1396
5.4837,4.5932
4.4099,1.6969
3.5637,2.0893
3.6692,3.0609
4.1289,4.774
3.4093,2.6942
3.3704,3.0001
3.6982,4.3272
2.0153,3.3985
1.7342,2.4048
2.8848,3.225
2.1238,2.5101
2.3085,3.9022
3.5951,4.2774
4.0064,4.5797
3.3704,1.2484
3.9376,2.4272
4.2304,4.1476
2.9429,1.7446
2.5679,1.2288
4.4872,6.2942
4.6846,4.7795
3.5008,4.9586
1.8333,5.0602
3.7835,5.1699
2.5127,2.1797
3.2732,-0.040074
3.9428,1.108
3.5828,1.8389
4.0475,0.18421
4.6562,0.85815
3.42,3.7848
2.0811,1.8836
5.0099,2.5947
5.0318,1.1851
3.463,2.7424
3.3426,1.4704
1.901,2.8448
3.4443,2.4732
5.2008,2.7888
3.4336,4.6093
2.257,3.7344
3.8106,5.566
4.1228,2.9314
4.3255,2.4621
4.5008,2.5585
4.7968,1.0838
4.7213,4.8201
3.7947,2.3869
4.8823,2.7035
3.5993,3.4999
4.7597,4.1693
6.5432,1.756
3.4815,2.7453
4.3445,2.8883
4.0401,2.4372
3.9611,3.3556
4.9479,1.7976
3.3462,4.0366
3.5726,1.6058
4.8722,2.3508
2.4576,3.9381
4.337,2.4146
4.6657,4.8412
3.1361,0.09952
3.5677,2.6991
3.8024,3.0088
5.2732,1.7325
3.6706,3.1397
2.1089,3.1498
2.7486,3.3711
3.5268,1.5014
3.3566,2.9398
5.4967,2.365
4.876,1.83
2.7849,2.3757
3.6206,3.2094
3.6391,4.7597
0.81906,1.9146
2.7031,3.9025
3.0586,5.095
4.0363,4.3002
4.2356,2.8721
3.0014,3.5692
4.4719,5.4656
3.3678,3.3425
4.6596,2.9
1.1622,0.87659
2.3057,2.4064
3.5257,3.3061
2.5836,1.3909
3.5107,2.5717
2.9338,4.8865
3.4161,5.3932
4.7943,4.7755
2.6492,3.4893
2.3757,4.4509
4.7501,6.6899
4.2474,3.7991
3.0221,5.0505
5.5468,4.8409
